"1312.4415","Zaid Towfic","Zaid J. Towfic and Ali H. Sayed","Adaptive Penalty-Based Distributed Stochastic Convex Optimization","13 pages, 1 figure",,"10.1109/TSP.2014.2331615",,"math.OC cs.DC cs.MA","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  In this work, we study the task of distributed optimization over a network of
learners in which each learner possesses a convex cost function, a set of
affine equality constraints, and a set of convex inequality constraints. We
propose a fully-distributed adaptive diffusion algorithm based on penalty
methods that allows the network to cooperatively optimize the global cost
function, which is defined as the sum of the individual costs over the network,
subject to all constraints. We show that when small constant step-sizes are
employed, the expected distance between the optimal solution vector and that
obtained at each node in the network can be made arbitrarily small. Two
distinguishing features of the proposed solution relative to other related
approaches is that the developed strategy does not require the use of
projections and is able to adapt to and track drifts in the location of the
minimizer due to changes in the constraints or in the aggregate cost itself.
The proposed strategy is also able to cope with changing network topology, is
robust to network disruptions, and does not require global information or rely
on central processors.
","[{""version"":""v1"",""created"":""Mon, 16 Dec 2013 16:01:08 GMT""}]","2015-06-18"
"1312.4563","St\'ephanie Juneau","St\'ephanie Juneau","AGN Absorption Linked to Host Galaxies","Proceedings to be published for the IAU Symposium 304:
  Multiwavelength AGN Surveys and Studies. 4 pages. 2 figures. v2: Fixed a
  reference",,"10.1017/S1743921314004165",,"astro-ph.GA astro-ph.CO","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Multiwavelength identification of AGN is crucial not only to obtain a more
complete census, but also to learn about the physical state of the nuclear
activity (obscuration, efficiency, etc.). A panchromatic strategy plays an
especially important role when the host galaxies are star-forming. Selecting
far-Infrared galaxies at 0.3<z<1, and using AGN tracers in the X-ray, optical
spectra, mid-infrared, and radio regimes, we found a twice higher AGN fraction
than previous studies, thanks to the combined AGN identification methods and in
particular the recent Mass-Excitation (MEx) diagnostic diagram. We furthermore
find an intriguing relation between AGN X-ray absorption and the specific star
formation rate (sSFR) of the host galaxies, indicating a physical link between
X-ray absorption and either the gas fraction or the gas geometry in the hosts.
These findings have implications for our current understanding of both the AGN
unification model and the nature of the black hole-galaxy connection.
  These proceedings review selected results by Juneau et al. (2013, ApJ 764,
176), and their implications. The original work involved several members from
the GOODS and AEGIS teams.
","[{""version"":""v1"",""created"":""Mon, 16 Dec 2013 21:20:44 GMT""},{""version"":""v2"",""created"":""Thu, 19 Dec 2013 23:05:20 GMT""}]","2015-06-18"
"1312.4564","Peilin Zhao","Peilin Zhao, Jinwei Yang, Tong Zhang, Ping Li","Adaptive Stochastic Alternating Direction Method of Multipliers","13 pages",,,,"stat.ML cs.LG","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  The Alternating Direction Method of Multipliers (ADMM) has been studied for
years. The traditional ADMM algorithm needs to compute, at each iteration, an
(empirical) expected loss function on all training examples, resulting in a
computational complexity proportional to the number of training examples. To
reduce the time complexity, stochastic ADMM algorithms were proposed to replace
the expected function with a random loss function associated with one uniformly
drawn example plus a Bregman divergence. The Bregman divergence, however, is
derived from a simple second order proximal function, the half squared norm,
which could be a suboptimal choice.
  In this paper, we present a new family of stochastic ADMM algorithms with
optimal second order proximal functions, which produce a new family of adaptive
subgradient methods. We theoretically prove that their regret bounds are as
good as the bounds which could be achieved by the best proximal function that
can be chosen in hindsight. Encouraging empirical results on a variety of
real-world datasets confirm the effectiveness and efficiency of the proposed
algorithms.
","[{""version"":""v1"",""created"":""Mon, 16 Dec 2013 21:22:46 GMT""},{""version"":""v2"",""created"":""Sun, 22 Dec 2013 01:59:05 GMT""},{""version"":""v3"",""created"":""Thu, 5 Jun 2014 07:03:48 GMT""},{""version"":""v4"",""created"":""Mon, 9 Jun 2014 09:31:13 GMT""}]","2014-06-10"
"1312.4565","James L. Nagle","J.L. Nagle, A. Adare, S. Beckman, T. Koblesky, J. Orjuela Koop, D.
  McGlinchey, P. Romatschke, J. Carlson, J. Lynn, M. McCumber","Exploiting Intrinsic Triangular Geometry in Relativistic He3+Au
  Collisions to Disentangle Medium Properties","5 pages, 5 figures, updated with hybrid viscous hydrodynamics and
  hadron cascade, also including comparison with d+Au and p+Pb data","Phys. Rev. Lett. 113, 112301 (2014)","10.1103/PhysRevLett.113.112301",,"nucl-th nucl-ex","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Recent results in d+Au and p+Pb collisions at RHIC and the LHC provide
evidence for collective expansion and flow of the created medium. We propose a
control set of experiments to directly compare particle emission patterns from
p+Au, d+Au, and He3+Au or t+Au collisions at the same sqrt(sNN). Using Monte
Carlo Glauber we find that a He3 or triton projectile, with a realistic
wavefunction description, induces a significant intrinsic triangular shape to
the initial medium and that, even with viscous damping, this survives into a
significant third order flow moment v3. By comparing systems with one, two, and
three initial hot spots, one can disentangle the effects from the initial
spatial distribution of the deposited energy and viscous damping. These are key
tools to answering the question of how small a droplet of matter is necessary
to form a quark-gluon plasma described by nearly inviscid hydrodynamics.
","[{""version"":""v1"",""created"":""Mon, 16 Dec 2013 21:22:57 GMT""},{""version"":""v2"",""created"":""Fri, 27 Jun 2014 15:29:21 GMT""}]","2014-09-17"
"1312.4566","Orest Pizio","B. Hribar-Lee, O. Pizio","Density anomaly of charged hard spheres of different diameters in a
  mixture with core-softened model solvent. Monte Carlo simulation results","10 pages, 5 figures","Condens. Matter Phys., 2013, vol. 16, No. 4, 43607:1-10","10.5488/CMP.16.43607",,"cond-mat.soft","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Very recently the effect of equisized charged hard sphere solutes in a
mixture with core-softened fluid model on the structural and thermodynamic
anomalies of the system has been explored in detail by using Monte Carlo
simulations and integral equations theory [J. Chem. Phys., 2012, 137, 244502].
Our objective of the present short work is to complement this study by
considering univalent ions of unequal diameters in a mixture with the same
soft-core fluid model. Specifically, we are interested in the analysis of
changes of the temperature of maximum density (TMD) lines with ion
concentration for three model salt solutes, namely sodium chloride, potassium
chloride and rubidium chloride models. We resort to Monte Carlo simulations for
this purpose. Our discussion also involves the dependences of the pair
contribution to excess entropy and of constant volume heat capacity on the
temperature of maximum density line. Some examples of the microscopic structure
of mixtures in question in terms of pair distribution functions are given in
addition.
","[{""version"":""v1"",""created"":""Mon, 16 Dec 2013 21:24:29 GMT""}]","2013-12-18"
"1312.4567","Sergii Kutsak","Sergii Kutsak","Examples of non-simply connected compact contact manifolds $M$ such that
  $M \times S^1$ cannot admit a symplectic structure","11 pages, no figures. arXiv admin note: substantial text overlap with
  arXiv:1212.0833",,,,"math.SG math.GT","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  In this paper we construct non-simply connected contact manifolds $M$ of
dimension $\geq5$ such that $M\times S^1$ does not admit a symplectic
structure.
","[{""version"":""v1"",""created"":""Mon, 16 Dec 2013 21:24:47 GMT""},{""version"":""v2"",""created"":""Sat, 4 Oct 2014 05:51:33 GMT""}]","2014-10-07"
"1312.4570","Alberto Aleta","Alberto Aleta, H\'ector Villarubia-Rojo, Diego Frustaglia, V\'ictor A.
  Gopar","Orbital entanglement and electron localization in quantum wires","6 pages, 4 figures. Minor changes","Phys. Rev. B, 89, 075429 (2014)","10.1103/PhysRevB.89.075429",,"cond-mat.mes-hall quant-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We study the signatures of disorder in the production of orbital electron
entanglement in quantum wires. Disordered entanglers suffer the effects of
localization of the electron wave function and random fluctuations in the
entanglement production. This manifests in the statistics of the concurrence, a
measure of the produced two-qubit entanglement. We calculate the concurrence
distribution as a function of the disorder strength within a random-matrix
approach. We also identify significant constraints on the entanglement
production as a consequence of the breaking/preservation of time-reversal
invariance. Additionally, our theoretical results are independently supported
by simulations of disordered quantum wires based on a tight-binding model.
","[{""version"":""v1"",""created"":""Mon, 16 Dec 2013 21:36:05 GMT""},{""version"":""v2"",""created"":""Wed, 5 Mar 2014 22:18:08 GMT""}]","2014-03-07"
"1312.4571","Mathieu Bertin","Mathieu Bertin, Edith C. Fayolle, Claire Romanzin, Hugo A. M.
  Poderoso, Xavier Michaut, Laurent Philippe, Pascal Jeseck, Karin I. \""Oberg,
  Harold Linnartz and Jean-Hugues Fillion","Indirect ultraviolet photodesorption from CO:N2 binary ices - an
  efficient grain-gas process","21 pages 5 figures","The Astrophysical Journal, 779 (2013), 120","10.1088/0004-637X/779/2/120",,"astro-ph.GA","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  UV ice photodesorption is an important non-thermal desorption pathway in many
interstellar environments that has been invoked to explain observations of cold
molecules in disks, clouds and cloud cores. Systematic laboratory studies of
the photodesorption rates, between 7 and 14 eV, from CO:N2 binary ices, have
been performed at the DESIRS vacuum UV beamline of the synchrotron facility
SOLEIL. The photodesorption spectral analysis demonstrates that the
photodesorption process is indirect, i.e. the desorption is induced by a photon
absorption in sub-surface molecular layers, while only surface molecules are
actually desorbing. The photodesorption spectra of CO and N2 in binary ices
therefore depend on the absorption spectra of the dominant species in the
subsurface ice layer, which implies that the photodesorption efficiency and
energy dependence are dramatically different for mixed and layered ices
compared to pure ices. In particular, a thin (1-2 ML) N2 ice layer on top of CO
will effectively quench CO photodesorption, while enhancing N2 photodesorption
by a factors of a few (compared to the pure ices) when the ice is exposed to a
typical dark cloud UV field, which may help to explain the different
distributions of CO and N2H+ in molecular cloud cores. This indirect
photodesorption mechanism may also explain observations of small amounts of
complex organics in cold interstellar environments.
","[{""version"":""v1"",""created"":""Mon, 16 Dec 2013 21:39:44 GMT""}]","2013-12-18"
"1312.4572","Richard V. E. Lovelace","R.V.E. Lovelace and M.M. Romanova","Rossby Wave Instability in Astrophysical Discs","11 pages, 4 figures","Fluid Dynamics Research 46 (2014) 041401 (IOP Publishing: The
  Japan Society of Fluid Mechanics)","10.1088/0169-5983/46/4/041401",,"astro-ph.SR","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  A brief review is given of the Rossby wave instability (RWI) in astrophysical
discs. In non-self-gravitating discs, around for example a newly forming stars,
the instability can be triggered by an axisymmetric bump at some radius $r_0$
in the disc surface mass-density. It gives rise to exponentially growing
non-axisymmetric perturbation [$\propto \exp({\rm i}m\phi)$, $m=1,2..$] in the
vicinity of $r_0$ consisting of {\it anticyclonic} vortices. These vortices are
regions of high pressure and consequently act to trap dust particles which in
turn can facilitate planetesimal growth in proto-planetary discs. The Rossby
vortices in the discs around stars and black holes may cause the observed
quasi-periodic modulations of the disc's thermal emission.
","[{""version"":""v1"",""created"":""Mon, 16 Dec 2013 21:46:18 GMT""},{""version"":""v2"",""created"":""Thu, 10 Apr 2014 19:06:00 GMT""}]","2014-04-11"
"1312.4573","Andrew Long","Jeffrey M. Hyde, Andrew J. Long, and Tanmay Vachaspati","Dark Strings and their Couplings to the Standard Model","38 pages, 12 figures","Phys. Rev. D 89, 065031 (2014)","10.1103/PhysRevD.89.065031",,"hep-ph astro-ph.CO hep-th","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We consider the Standard Model extended by a hidden sector U(1)_X symmetry
that is spontaneously broken at the TeV scale by the vacuum expectation value
of an additional scalar field. We study ""dark string"" solutions in this model
and their properties due to the Higgs portal and gauge kinetic mixing
operators. We find that dark strings effectively interact with Higgs and Z
bosons by linear couplings, and with leptons and baryons via Aharonov-Bohm
couplings, thus possibly leading to new cosmological constraints on dark matter
models with spontaneously broken extra U(1) symmetry factors.
","[{""version"":""v1"",""created"":""Mon, 16 Dec 2013 21:48:56 GMT""}]","2014-03-26"
"1312.4574","Adam Bzdak","Adam Bzdak, Volker Koch","Local Efficiency Corrections to Higher Order Cumulants","6 pages; Section III with discussion added, published version","Phys. Rev. C 91, 027901 (2015)","10.1103/PhysRevC.91.027901",,"nucl-th hep-ex nucl-ex","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  In this brief note we derive and present the formulas necessary to correct
measurements of cumulants for detection efficiency. In particular we consider
the case where the efficiency may depend on the phase-space, such as transverse
momentum, rapidity etc.
","[{""version"":""v1"",""created"":""Mon, 16 Dec 2013 21:49:12 GMT""},{""version"":""v2"",""created"":""Mon, 2 Feb 2015 22:52:41 GMT""}]","2015-03-05"
